GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US42001,42001,"Adams County, Pennsylvania",101407,101424,101473,101457,101242,101132,101350,101776,101812,102367,102811
0500000US42003,42003,"Allegheny County, Pennsylvania",1223348,1223323,1223970,1228183,1230881,1233710,1233073,1228965,1226660,1220656,1218452
0500000US42005,42005,"Armstrong County, Pennsylvania",68941,68944,68865,68492,68058,67851,67466,66753,66299,65876,65263
0500000US42007,42007,"Beaver County, Pennsylvania",170539,170549,170646,170307,170065,169743,168998,168267,166772,165703,164742
0500000US42009,42009,"Bedford County, Pennsylvania",49762,49763,49686,49610,49576,49302,49118,48735,48589,48438,48176
0500000US42011,42011,"Berks County, Pennsylvania",411442,411556,412025,412966,413515,413935,414593,415193,415748,417524,420152
0500000US42013,42013,"Blair County, Pennsylvania",127089,127116,127043,126959,126540,125835,125276,124585,123680,123175,122492
0500000US42015,42015,"Bradford County, Pennsylvania",62622,62704,62736,63106,63002,62512,61955,61648,61098,60988,60833
0500000US42017,42017,"Bucks County, Pennsylvania",625249,625266,625405,625908,625361,625059,625334,625366,625925,627028,628195
0500000US42019,42019,"Butler County, Pennsylvania",183862,183856,184092,184644,184899,185077,185754,185937,186248,187004,187888
0500000US42021,42021,"Cambria County, Pennsylvania",143679,143681,143450,142551,141513,138806,137520,136029,134416,133054,131730
0500000US42023,42023,"Cameron County, Pennsylvania",5085,5085,5082,5014,4975,4928,4832,4775,4710,4621,4492
0500000US42025,42025,"Carbon County, Pennsylvania",65249,65252,65255,65088,64804,64547,64270,63773,63522,63865,64227
0500000US42027,42027,"Centre County, Pennsylvania",153990,154001,154218,155042,155815,158227,159655,160442,162062,162250,162805
0500000US42029,42029,"Chester County, Pennsylvania",498886,499133,499924,503425,506106,509157,512852,515137,516813,518934,522046
0500000US42031,42031,"Clarion County, Pennsylvania",39988,39991,39931,39901,39465,39080,38917,38871,38591,38975,38779
0500000US42033,42033,"Clearfield County, Pennsylvania",81642,81616,81553,81430,81406,81435,81020,80717,80178,79775,79388
0500000US42035,42035,"Clinton County, Pennsylvania",39238,39240,39250,39493,39715,39817,39471,39381,38996,38837,38684
0500000US42037,42037,"Columbia County, Pennsylvania",67295,67303,67360,67081,67043,67200,67127,66702,66166,65649,65456
0500000US42039,42039,"Crawford County, Pennsylvania",88765,88750,88613,88155,87719,87503,87151,86510,86306,85788,85063
0500000US42041,42041,"Cumberland County, Pennsylvania",235406,235405,235902,237101,239252,241071,243301,245766,247435,249238,251423
0500000US42043,42043,"Dauphin County, Pennsylvania",268100,268123,268272,269218,269997,271439,272241,273138,274266,275831,277097
0500000US42045,42045,"Delaware County, Pennsylvania",558979,558759,558982,559228,560756,561528,562748,563161,563490,563487,564751
0500000US42047,42047,"Elk County, Pennsylvania",31946,31946,31861,31795,31616,31461,31184,30892,30504,30290,30169
0500000US42049,42049,"Erie County, Pennsylvania",280566,280584,280797,281296,281523,280724,279437,278182,276289,273892,272061
0500000US42051,42051,"Fayette County, Pennsylvania",136606,136595,136438,135997,135270,134586,133989,133224,132365,131427,130441
0500000US42053,42053,"Forest County, Pennsylvania",7716,7710,7707,7673,7589,7543,7463,7377,7324,7311,7279
0500000US42055,42055,"Franklin County, Pennsylvania",149618,149619,149915,150910,151468,151938,152607,153074,153753,154487,154835
0500000US42057,42057,"Fulton County, Pennsylvania",14845,14844,14862,14737,14701,14620,14534,14505,14492,14475,14523
0500000US42059,42059,"Greene County, Pennsylvania",38686,38689,38612,38363,38029,37860,37756,37400,37211,36849,36506
0500000US42061,42061,"Huntingdon County, Pennsylvania",45913,46009,46003,46006,45941,45843,45737,45485,45343,45374,45168
0500000US42063,42063,"Indiana County, Pennsylvania",88880,88889,88865,88619,88220,88142,87423,86773,85200,84879,84501
0500000US42065,42065,"Jefferson County, Pennsylvania",45200,45189,45162,44914,44801,44876,44570,44345,44037,43828,43641
0500000US42067,42067,"Juniata County, Pennsylvania",24636,24635,24625,24710,24611,24480,24486,24437,24556,24628,24704
0500000US42069,42069,"Lackawanna County, Pennsylvania",214437,214439,214528,214369,214195,213753,212858,211904,211073,210640,210793
0500000US42071,42071,"Lancaster County, Pennsylvania",519445,519446,520322,523906,526869,530027,533320,535737,538069,541054,543557
0500000US42073,42073,"Lawrence County, Pennsylvania",91108,91140,91003,90499,89867,89243,88631,88113,87332,86652,86184
0500000US42075,42075,"Lebanon County, Pennsylvania",133568,133577,133643,134490,135516,135782,136524,137491,138475,139566,141314
0500000US42077,42077,"Lehigh County, Pennsylvania",349497,349676,350164,353415,354771,355376,357693,359720,362181,365371,368100
0500000US42079,42079,"Luzerne County, Pennsylvania",320918,320895,320988,320960,321122,319631,319152,317978,317018,317624,317646
0500000US42081,42081,"Lycoming County, Pennsylvania",116111,116114,116234,116742,117234,116607,116303,115576,114821,113930,113664
0500000US42083,42083,"McKean County, Pennsylvania",43450,43459,43343,43128,43141,42806,42644,42406,41683,41329,40968
0500000US42085,42085,"Mercer County, Pennsylvania",116638,116668,116612,116147,115638,115133,114680,113633,112604,111551,110683
0500000US42087,42087,"Mifflin County, Pennsylvania",46682,46679,46639,46743,46752,46629,46490,46433,46331,46334,46222
0500000US42089,42089,"Monroe County, Pennsylvania",169842,169832,169843,169877,168629,167370,167313,166598,166421,168089,169507
0500000US42091,42091,"Montgomery County, Pennsylvania",799874,799872,800907,805240,808700,812665,815880,817373,820084,824562,828604
0500000US42093,42093,"Montour County, Pennsylvania",18267,18258,18302,18365,18431,18397,18417,18292,18244,18275,18240
0500000US42095,42095,"Northampton County, Pennsylvania",297735,297694,297914,298222,299000,298957,299624,300120,301364,302976,304807
0500000US42097,42097,"Northumberland County, Pennsylvania",94528,94483,94301,94395,94419,93896,93609,92890,92275,91767,91083
0500000US42099,42099,"Perry County, Pennsylvania",45969,45940,45928,45924,45811,45653,45664,45848,45939,46032,46139
0500000US42101,42101,"Philadelphia County, Pennsylvania",1526006,1526009,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138
0500000US42103,42103,"Pike County, Pennsylvania",57369,57346,57367,57067,56291,56079,55659,55350,55024,55523,55933
0500000US42105,42105,"Potter County, Pennsylvania",17457,17449,17456,17455,17562,17453,17190,17085,16952,16835,16622
0500000US42107,42107,"Schuylkill County, Pennsylvania",148289,148291,148285,147519,147120,146665,145391,144129,143521,142666,142067
0500000US42109,42109,"Snyder County, Pennsylvania",39702,39719,39707,39777,39878,40120,40232,40523,40452,40585,40540
0500000US42111,42111,"Somerset County, Pennsylvania",77742,77737,77763,77275,77012,76588,76151,75396,74892,74356,73952
0500000US42113,42113,"Sullivan County, Pennsylvania",6428,6429,6407,6414,6403,6299,6277,6267,6129,6139,6071
0500000US42115,42115,"Susquehanna County, Pennsylvania",43356,43328,43343,43225,42924,42399,42090,41783,41263,40975,40589
0500000US42117,42117,"Tioga County, Pennsylvania",41981,41902,41972,42234,42444,42207,41896,41520,41251,40701,40763
0500000US42119,42119,"Union County, Pennsylvania",44947,44963,45000,45100,45159,44729,44965,45551,45514,44756,44785
0500000US42121,42121,"Venango County, Pennsylvania",54984,54992,54976,54682,54192,53817,53354,52956,52480,51823,51266
0500000US42123,42123,"Warren County, Pennsylvania",41815,41811,41771,41501,41258,40953,40655,40327,40017,39677,39498
0500000US42125,42125,"Washington County, Pennsylvania",207820,207841,207929,208027,208273,208028,207946,207727,207418,207296,207346
0500000US42127,42127,"Wayne County, Pennsylvania",52822,52850,52848,52725,52231,52184,52045,51812,51332,51215,51276
0500000US42129,42129,"Westmoreland County, Pennsylvania",365169,365194,365146,364510,362885,360769,358975,357034,354814,352321,350611
0500000US42131,42131,"Wyoming County, Pennsylvania",28276,28283,28241,28306,28380,28132,28165,27808,27542,27381,27046
0500000US42133,42133,"York County, Pennsylvania",434972,435008,435403,436643,437449,438936,440496,441800,443777,445722,448273
